,Unnamed: 0,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
114,114,Katsuura,JP,2020-02-23 02:39:56,35.13,140.3,57.2,26,20,10.29,few clouds,0.0,0.0
115,115,Rocha,UY,2020-02-23 02:39:56,-34.48,-54.33,51.8,91,0,0.98,clear sky,0.0,0.0
116,116,Viedma,AR,2020-02-23 02:36:03,-40.81,-63.0,64.85,39,0,13.87,clear sky,0.0,0.0
117,117,Nanortalik,GL,2020-02-23 02:39:57,60.14,-45.24,25.9,83,100,18.19,snow,0.0,1.81
118,118,Chuy,UY,2020-02-23 02:39:57,-33.7,-53.46,59.22,88,0,4.97,clear sky,0.0,0.0
119,119,Ballina,AU,2020-02-23 02:39:57,-28.87,153.57,77.0,73,100,14.99,light rain,0.44,0.0
120,120,Atar,MR,2020-02-23 02:39:57,20.52,-13.05,72.7,12,100,2.24,overcast clouds,0.0,0.0
121,121,Touros,BR,2020-02-23 02:39:58,-5.2,-35.46,78.8,94,40,4.7,scattered clouds,0.0,0.0
122,122,Victoria,HK,2020-02-23 02:39:58,22.29,114.16,73.99,52,20,14.99,few clouds,0.0,0.0
123,123,Bredy,RU,2020-02-23 02:39:58,52.42,60.34,8.82,98,0,1.41,clear sky,0.0,0.0
124,124,Airai,TL,2020-02-23 02:39:58,-8.93,125.41,83.41,54,0,3.94,clear sky,0.0,0.0
125,125,Bowen,AU,2020-02-23 02:39:59,-20.02,148.23,78.01,100,90,10.29,overcast clouds,0.0,0.0
126,126,Tecpan,GT,2020-02-23 02:39:59,14.76,-90.99,64.4,72,40,20.8,scattered clouds,0.0,0.0
127,127,Gamba,GA,2020-02-23 02:39:59,-2.65,10.0,78.6,88,100,3.74,moderate rain,3.13,0.0
128,128,Kuching,MY,2020-02-23 02:35:09,1.55,110.33,80.6,88,40,3.36,scattered clouds,0.0,0.0
129,129,Ramhormoz,IR,2020-02-23 02:40:00,31.28,49.6,55.4,76,2,6.93,clear sky,0.0,0.0
130,130,Banda Aceh,ID,2020-02-23 02:35:22,5.56,95.32,83.62,66,2,6.24,clear sky,0.0,0.0
131,131,Ahipara,NZ,2020-02-23 02:40:00,-35.17,173.17,67.26,67,13,21.94,few clouds,0.0,0.0
132,132,Qaanaaq,GL,2020-02-23 02:40:00,77.48,-69.36,-13.34,83,98,2.57,overcast clouds,0.0,0.0
133,133,Barrow,US,2020-02-23 02:39:10,71.29,-156.79,-14.8,75,1,6.93,clear sky,0.0,0.0
134,134,Saldanha,ZA,2020-02-23 02:40:01,-33.01,17.94,64.4,63,0,9.17,clear sky,0.0,0.0
135,135,Kodiak,US,2020-02-23 02:40:01,57.79,-152.41,19.4,73,90,11.41,light snow,0.0,0.0
136,136,Yakeshi,CN,2020-02-23 02:40:01,49.28,120.73,10.2,92,100,3.09,light snow,0.0,0.69
137,137,Khandagayty,RU,2020-02-23 02:40:01,50.73,92.05,4.21,85,80,0.96,broken clouds,0.0,0.0
138,138,Polovinnoye,RU,2020-02-23 02:40:02,54.79,65.99,20.41,96,94,5.5,overcast clouds,0.0,0.0
139,139,Hambantota,LK,2020-02-23 02:40:02,6.12,81.12,75.2,100,75,9.17,broken clouds,0.0,0.0
140,140,Kontagora,NG,2020-02-23 02:40:02,10.4,5.47,78.96,13,39,10.36,scattered clouds,0.0,0.0
141,141,Olafsvik,IS,2020-02-23 02:40:02,64.89,-23.71,30.76,76,94,7.76,light snow,0.0,1.06
142,142,Coihaique,CL,2020-02-23 02:40:02,-45.58,-72.07,64.4,36,6,3.36,clear sky,0.0,0.0
143,143,Tautira,PF,2020-02-23 02:40:03,-17.73,-149.15,86.0,70,40,12.75,shower rain,0.0,0.0
144,144,Rondonopolis,BR,2020-02-23 02:35:20,-16.47,-54.64,71.08,98,100,1.68,light rain,0.56,0.0
145,145,Cosala,MX,2020-02-23 02:40:03,24.41,-106.69,69.01,94,85,1.01,overcast clouds,0.0,0.0
146,146,Aklavik,CA,2020-02-23 02:40:03,68.22,-135.01,-0.4,77,90,3.36,light snow,0.0,0.0
147,147,Khatanga,RU,2020-02-23 02:40:03,71.97,102.5,11.23,78,100,16.13,overcast clouds,0.0,0.0
148,148,Srednekolymsk,RU,2020-02-23 02:40:04,67.45,153.68,-17.55,93,54,1.54,broken clouds,0.0,0.0
149,149,Agadez,NE,2020-02-23 02:40:04,19.75,10.25,62.74,23,52,12.68,broken clouds,0.0,0.0
150,150,Thayetmyo,MM,2020-02-23 02:40:04,19.32,95.18,85.53,31,60,3.13,broken clouds,0.0,0.0
151,151,Zima,RU,2020-02-23 02:40:05,53.92,102.04,14.67,91,69,5.32,broken clouds,0.0,0.0
152,152,Pevek,RU,2020-02-23 02:40:05,69.7,170.31,-10.39,96,100,10.27,light snow,0.0,0.13
153,153,Det Udom,TH,2020-02-23 02:40:05,14.91,105.08,77.0,53,8,10.29,clear sky,0.0,0.0
154,154,Bluff,NZ,2020-02-23 02:40:05,-46.6,168.33,62.01,74,70,17.0,broken clouds,0.0,0.0
155,155,Kramat,ID,2020-02-23 02:40:06,-8.13,113.45,80.44,65,44,4.14,light rain,0.31,0.0
156,156,Duki,PK,2020-02-23 02:40:06,30.15,68.57,53.89,51,0,1.79,clear sky,0.0,0.0
157,157,Mongo,TD,2020-02-23 02:40:06,12.18,18.69,66.56,15,0,7.94,clear sky,0.0,0.0
158,158,Aginskoye,RU,2020-02-23 02:40:06,51.1,114.53,19.22,75,0,15.08,clear sky,0.0,0.0
